Longitude,Latitude,PB_Cetin_Uncorr_Strain,PB_IandY_Uncorr_Strain,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-119.706,41.968,0,0,0.5,0.5
-119.61,41.965,0,0,0.5,0.5
-119.513,41.962,0,0,0.5,0.5
-119.417,41.959,0,0,0.5,0.5
-119.321,41.956,0,0,0.5,0.5
-119.224,41.953,0,0,0.5,0.5
-119.128,41.949,0,0,0.5,0.5
-119.032,41.946,0,0,0.5,0.5
-118.936,41.943,0,0,0.5,0.5
-118.839,41.939,0,0,0.5,0.5
-118.743,41.936,0,0,0.5,0.5
-118.647,41.932,0,0,0.5,0.5
-118.551,41.928,0,0,0.5,0.5
-118.454,41.925,0,0,0.5,0.5
-118.358,41.921,0,0,0.5,0.5
-118.262,41.917,0,0,0.5,0.5
-118.166,41.913,0,0,0.5,0.5
-118.07,41.909,0,0,0.5,0.5
-117.974,41.905,0,0,0.5,0.5
-117.878,41.9,0,0,0.5,0.5
-117.782,41.896,0,0,0.5,0.5
-117.686,41.892,0,0,0.5,0.5
-117.59,41.887,0,0,0.5,0.5
-122.989,42.087,4.99E-03,1.72E-03,0.5,1.331874244
-122.892,42.087,3.95E-03,0,0.5,1.142083697
-122.795,42.087,2.62E-03,0,0.5,1.011069302
-122.698,42.086,1.09E-03,0,0.5,0.946857599
-122.602,42.086,1.31E-03,0,0.5,0.930940191
-122.505,42.086,1.34E-03,0,0.5,0.962835155
-122.408,42.085,1.25E-03,0,0.5,1.035151421
-122.312,42.085,2.95E-03,0,0.5,1.177037569
-121.441,42.076,0,0,0.5,0.958886402
-121.345,42.075,0,0,0.5,0.715073652
-121.248,42.073,0,0,0.5,0.552357687
-121.151,42.072,0,0,0.5,0.5
-121.055,42.07,0,0,0.5,0.5
-120.958,42.069,0,0,0.5,0.5
-120.861,42.067,0,0,0.5,0.5
-120.765,42.065,0,0,0.5,0.5
-120.668,42.063,0,0,0.5,0.5
-120.571,42.061,0,0,0.5,0.5
-120.475,42.059,0,0,0.5,0.5
-120.378,42.057,0,0,0.5,0.5
-120.282,42.055,0,0,0.5,0.509526235
-120.185,42.052,0,0,0.5,0.525889194
-120.089,42.05,0,0,0.5,0.520619558
-119.992,42.047,0,0,0.5,0.5
-119.896,42.045,0,0,0.5,0.5
-119.799,42.042,0,0,0.5,0.5
-119.703,42.039,0,0,0.5,0.5
-119.606,42.037,0,0,0.5,0.5
-119.51,42.034,0,0,0.5,0.5
-119.413,42.031,0,0,0.5,0.5
-119.317,42.028,0,0,0.5,0.5
-119.22,42.025,0,0,0.5,0.5
-119.124,42.021,0,0,0.5,0.5
-119.027,42.018,0,0,0.5,0.5
-118.931,42.015,0,0,0.5,0.5
-118.835,42.011,0,0,0.5,0.5
-118.738,42.008,0,0,0.5,0.5
-118.642,42.004,0,0,0.5,0.5
-118.546,42,0,0,0.5,0.5
-118.449,41.997,0,0,0.5,0.5
-118.353,41.993,0,0,0.5,0.5
-118.257,41.989,0,0,0.5,0.5
-118.161,41.985,0,0,0.5,0.5
-118.064,41.981,0,0,0.5,0.5
